[2015-10-28 16:08:04,713] - Form1_Load
[2015-10-28 16:08:07,449] - Test Send AreYouThere
[2015-10-28 16:08:07,450] - CreatePrimaryTransaction
[2015-10-28 16:08:07,464] - hostController_SECsHostError
[2015-10-28 16:08:07,468] - hostController_SECsPrimaryIn
[2015-10-28 16:23:03,169] - Send --> AreYouThere
[2015-10-28 17:56:31,493] - Form1_Load
[2015-10-28 17:56:33,185] - Test Send AreYouThere
[2015-10-28 17:56:33,186] - CreatePrimaryTransaction
[2015-10-28 17:56:33,199] - hostController_SECsHostError
[2015-10-28 17:56:33,202] - hostController_SECsPrimaryIn
